Hieroglyph,description,Sound,,,,
𓇌,Pair of leaves/strokes,y,,,,
𓅱,Quail chick,w,,,,
𓃀,Lower leg,b,,,,
𓊪,Mat,p,,,,
𓆑,Viper,f,,,,
𓅓,owl,m,,,,
𓈖,Water ripple,n,,,,
𓂋,mouth,r,,,,
𓉔,fence(seen from above),h,,,,
𓋴,Folded cloth,s,,,,
𓊃,Door bolt,s,,,,
𓎡,dish,k,,,,
𓎼,Pot stand,g,,,,
𓏏,Small loaf,t,,,,
𓂧,hand,d,,,,
𓈙,lake,š,,,,
𓍿,Animal tether,ṯ,,,,
𓆓,Snake,ḏ,,,,
𓄿,vulture,ꜣ,,,,
𓇋,Reed leaf,ỉ,,,,
𓂝,Forearm,ꜥ,,,,
𓎛,Wick of flax,ḥ,,,,
𓐍,Hall of twine,ḫ,,,,
𓄡,Animal belly,ẖ,,,,
𓏘,Hill slope,ḳ,,,,
